"time","FLOW","TEMP","SALT","TRC_tr1","TRC_age","NCS_ss1","NCS_ss2","OXY_oxy","CAR_dic","CAR_pH","CAR_ch4","CAR_ch4_bub","SIL_rsi","NIT_amm","NIT_nit","PHS_frp","PHS_frp_ads","OGM_doc","OGM_poc","OGM_don","OGM_pon","OGM_dop","OGM_pop","OGM_docr","OGM_donr","OGM_dopr","OGM_cpom","PHY_cyano","PHY_cyano_IN","PHY_cyano_IP","PHY_green","PHY_green_IN","PHY_green_IP","PHY_diatom","PHY_diatom_IN","PHY_diatom_IP","BIV_filtfrac"
2013-05-16,0.015,15.3409,0,1,0,1,1,294.2972,63.7913,6.7,0.0115,0,120.9013,0.388,0.8306,0.1264,0.0253,14.9875,21.7319,1.1496,2.2993,0.0195,0.454,202.3314,10.3467,0.1751,21.7319,0,0,0,0,0,0,0,0,0,0
2013-05-17,0.0141,15.2883,0,1,0,1,1,294.6308,63.8041,6.7,0.0121,0,120.9013,0.3788,0.8458,0.1271,0.0254,14.9862,21.73,1.1482,2.2964,0.0206,0.4803,202.3136,10.334,0.1853,21.73,0,0,0,0,0,0,0,0,0,0
2013-05-18,0.017,14.9034,0,1,0,1,1,297.0926,63.817,6.7,0.0126,0,120.9013,0.3695,0.861,0.1279,0.0256,14.9849,21.7281,1.1468,2.2936,0.0217,0.5066,202.2958,10.3213,0.1954,21.7281,0,0,0,0,0,0,0,0,0,0
2013-05-19,0.0241,14.6352,0,1,0,1,1,298.83,63.8298,6.7,0.0132,0,120.9013,0.3603,0.8762,0.1286,0.0257,14.9836,21.7262,1.1454,2.2908,0.0228,0.5328,202.2779,10.3086,0.2055,21.7262,0,0,0,0,0,0,0,0,0,0
2013-05-20,0.0385,14.3989,0,1,0,1,1,300.376,63.8427,6.7,0.0138,0,120.9013,0.3511,0.8913,0.1294,0.0259,14.9822,21.7242,1.144,2.288,0.024,0.5591,202.2601,10.2959,0.2157,21.7242,0,0,0,0,0,0,0,0,0,0
2013-05-21,0.0264,15.2562,0,1,0,1,1,294.8347,63.8555,6.7,0.0144,0,120.9013,0.3418,0.9065,0.1301,0.026,14.9809,21.7223,1.1426,2.2852,0.0251,0.5854,202.2423,10.2832,0.2258,21.7223,0,0,0,0,0,0,0,0,0,0
2013-05-22,0.0204,16.0264,0,1,0,1,1,290.0111,63.8684,6.7,0.015,0,120.9013,0.3326,0.9217,0.1309,0.0262,14.9796,21.7204,1.1412,2.2823,0.0262,0.6117,202.2245,10.2705,0.2359,21.7204,0,0,0,0,0,0,0,0,0,0
2013-05-23,0.0197,15.6816,0,1,0,1,1,292.1532,63.8812,6.7,0.0155,0,120.9013,0.3234,0.9368,0.1316,0.0263,14.9783,21.7185,1.1398,2.2795,0.0273,0.6379,202.2067,10.2578,0.2461,21.7185,0,0,0,0,0,0,0,0,0,0
2013-05-24,0.0186,13.7595,0,1,0,1,1,304.6305,63.894,6.7,0.016,0,120.9013,0.3141,0.952,0.1324,0.0265,14.977,21.7166,1.1383,2.2767,0.0279,0.651,202.1889,10.2451,0.2511,21.7166,0,0,0,0,0,0,0,0,0,0
2013-05-25,0.0162,11.8135,0,1,0,1,1,318.2634,63.9069,6.7,0.0163,0,120.9013,0.3049,0.9672,0.1331,0.0266,14.9756,21.7147,1.1369,2.2739,0.0285,0.664,202.1711,10.2324,0.2561,21.7147,0,0,0,0,0,0,0,0,0,0
